Name,Adult,Episode_Run_Time,Genres,First_Air_Date,Last_Air_Date,Networks,Number_of_Episodes,Number_of_Seasons,Status,Popularity
Gecekondu,false,0.0,"[""Komedi""]",2010-07-09,2011-01-28,"[""Star TV""]",30.0,1.0,Ended,8.552
Kanıt,false,75.0,"[""Suç"", ""Gizem""]",2010-07-08,2013-02-03,"[""Kanal D""]",100.0,3.0,Ended,59.381
Şen Yuva,false,90.0,"[""Komedi"", ""Aile""]",2010-07-05,2010-12-24,"[""atv"", ""FOX""]",20.0,2.0,Ended,8.543
Mükemmel Çift,false,0.0,"[""Komedi""]",2010-06-22,2010-08-10,"[""Kanal D""]",8.0,1.0,Ended,6.262
Cuma'ya Kalsa,false,60.0,"[""Komedi"", ""Aile""]",2010-04-19,2010-07-05,"[""Kanal D""]",12.0,1.0,Ended,15.754
Türk Malı,false,90.0,"[""Komedi"", ""Aile""]",2010-03-15,2017-09-27,"[""Show TV"", ""Star TV""]",41.0,4.0,Ended,7.99
Kalp Ağrısı,false,90.0,"[""Dram""]",2010-03-14,2010-06-06,"[""atv""]",13.0,1.0,Ended,6.53
Gönülçelen,false,90.0,"[""Dram""]",2010-02-26,2011-06-24,"[""atv""]",56.0,2.0,Ended,28.394
Aşk ve Ceza,false,90.0,"[""Dram""]",2010-01-05,2011-06-14,"[""atv""]",62.0,2.0,Ended,21.78
Makber,false,90.0,"[""Aile"", ""Dram""]",2009-12-23,2010-02-03,"[""Star TV""]",6.0,1.0,Ended,8.03
Sakarya-Fırat,false,90.0,"[""Savaş & Politik"", ""Aile"", ""Dram""]",2009-12-16,2013-06-05,"[""TRT 1""]",151.0,4.0,Ended,9.247
Samanyolu,false,90.0,"[""Dram""]",2009-12-01,2010-06-25,"[""atv""]",29.0,1.0,Ended,13.262
Kasaba,false,90.0,"[""Dram""]",2009-10-21,2010-03-03,"[""atv""]",20.0,1.0,Ended,11.833
Bu Kalp Seni Unutur Mu?,false,70.0,"[""Dram"", ""Savaş & Politik""]",2009-10-13,2010-02-09,"[""Show TV""]",17.0,1.0,Ended,12.22
Hesaplaşma,false,80.0,"[""Suç"", ""Aksiyon & Macera""]",2009-10-12,2010-01-04,"[""TRT 1""]",13.0,1.0,Ended,6.202
IV. Osman,false,90.0,"[""Suç"", ""Komedi""]",2009-10-06,2010-06-22,"[""Samanyolu TV""]",38.0,1.0,Ended,2.425
Ezel,false,120.0,"[""Suç"", ""Dram"", ""Aksiyon & Macera""]",2009-09-28,2011-06-20,"[""Show TV"", ""atv""]",71.0,2.0,Ended,68.04
Aşk Bir Hayal,false,90.0,"[""Aile"", ""Dram""]",2009-09-25,2009-09-25,"[""atv""]",1.0,2.0,Ended,1.082
Bahar Dalları,false,80.0,"[""Dram"", ""Aile""]",2009-09-22,2010-04-13,"[""TRT 1""]",30.0,1.0,Ended,11.205
Acemi Müezzin,false,0.0,"[""Komedi""]",2009-09-20,2009-09-23,"[""TRT 1""]",4.0,1.0,Ended,12.342
Hanımın Çiftliği,false,90.0,"[""Aile"", ""Dram""]",2009-09-04,2011-06-17,"[""Kanal D""]",70.0,2.0,Ended,24.946
Ömre Bedel,false,100.0,"[""Aile"", ""Dram""]",2009-08-25,2011-05-24,"[""FOX""]",71.0,2.0,Ended,14.681
Deniz Yıldızı,false,60.0,"[""Dram""]",2009-08-24,2015-09-07,"[""FOX"", ""Show TV"", ""Star TV""]",224.0,7.0,Ended,8.729
Ramazan Güzeldir,false,30.0,"[""Komedi"", ""Aile""]",2009-08-21,2009-08-21,"[""TRT 1""]",1.0,1.0,Ended,2.113
Ey Aşk Nerdesin?,false,90.0,"[""Komedi"", ""Aile""]",2009-08-13,2009-09-17,"[""atv""]",6.0,1.0,Ended,7.658
Geniş Aile,false,90.0,"[""Komedi"", ""Aile""]",2009-07-08,2011-11-04,"[""Kanal D"", ""Star TV""]",108.0,3.0,Ended,26.471
Unutulmaz,false,90.0,"[""Dram""]",2009-07-01,2010-10-13,"[""atv""]",2.0,2.0,Ended,6.023
Kapadokya Düşleri,false,70.0,"[""Dram""]",2009-06-22,2009-09-14,"[""TRT 1""]",13.0,1.0,Ended,2.68
Aile Reisi,false,75.0,"[""Aile"", ""Komedi""]",2009-06-22,2009-10-19,"[""Star TV""]",18.0,1.0,Ended,11.306
Bir Bulut Olsam,false,90.0,"[""Dram""]",2009-05-25,2009-12-24,"[""Kanal D""]",29.0,2.0,Ended,33.534
Ah Kalbim,false,60.0,"[""Komedi"", ""Aile""]",2009-05-22,2009-11-13,"[""TRT 1""]",26.0,1.0,Ended,10.622
Haneler,false,80.0,"[""Komedi""]",2009-05-19,2010-05-11,"[""Kanal D"", ""Star TV""]",52.0,1.0,Ended,5.209
Zoraki Başkan,false,60.0,"[""Aile"", ""Komedi"", ""Savaş & Politik""]",2009-05-08,2010-03-26,"[""TRT 1""]",47.0,1.0,Ended,6.795
Yapma Diyorum,false,60.0,"[""Komedi""]",2009-04-10,2009-04-24,"[""TRT 1""]",3.0,1.0,Ended,1.541
Ayrılık,false,90.0,"[""Dram"", ""Savaş & Politik""]",2009-03-31,2009-10-13,"[""TRT 1""]",2.0,2.0,Ended,6.478
Papatyam,false,90.0,"[""Aile"", ""Komedi""]",2009-01-06,2011-11-29,"[""Star TV""]",121.0,4.0,Ended,12.734
Kahramanlar,false,0.0,String[],2009-01-05,2009-03-09,"[""Show TV""]",10.0,1.0,Ended,7.323
Melekler Korusun,false,90.0,"[""Komedi"", ""Dram""]",2009-01-01,2010-08-06,"[""Show TV""]",73.0,2.0,Ended,20.236
Canım Ailem,false,90.0,"[""Aile"", ""Komedi""]",2008-11-18,2010-05-18,"[""atv""]",63.0,2.0,Ended,16.037
Adanalı,false,90.0,"[""Suç"", ""Aksiyon & Macera"", ""Komedi"", ""Dram""]",2008-11-07,2010-11-07,"[""atv""]",79.0,3.0,Ended,24.999
Karamel,false,90.0,"[""Dram""]",2008-11-03,2008-11-17,"[""Show TV""]",3.0,1.0,Ended,2.645
Kendi Okulumuza Doğru,false,0.0,"[""Aile"", ""Dram""]",2008-10-18,2008-10-18,"[""Samanyolu TV""]",1.0,1.0,Ended,1.709
Aşk Yakar,false,80.0,"[""Aile"", ""Komedi"", ""Dram""]",2008-10-17,2009-03-06,"[""Kanal D""]",21.0,1.0,Ended,11.254
Kayıp Prenses,false,80.0,"[""Çocuklar"", ""Bilim Kurgu & Fantazi""]",2008-10-13,2009-04-27,"[""atv"", ""Star TV""]",29.0,1.0,Ended,14.445
1 Kadın 1 Erkek,false,30.0,"[""Komedi""]",2008-10-02,2011-10-02,"[""Turkmax""]",128.0,4.0,Ended,13.57
Sen Harikasın,false,60.0,"[""Komedi""]",2008-09-29,2008-09-29,"[""Turkmax""]",1.0,4.0,Ended,1.458
Nerede Kalmıştık,false,60.0,"[""Komedi""]",2008-09-25,2008-12-18,"[""Turkmax""]",13.0,1.0,Ended,1.96
Dalgakıran,false,0.0,"[""Dram""]",2008-09-16,2008-10-07,"[""TRT 1""]",4.0,1.0,Ended,1.018
Gece Sesleri,false,90.0,"[""Dram"", ""Aile""]",2008-09-05,2009-01-23,"[""Show TV""]",26.0,1.0,Ended,6.149
Aşk-ı Memnu,false,84.0,"[""Aile"", ""Dram""]",2008-09-04,2010-06-26,"[""Kanal D""]",120.0,2.0,Ended,47.46
Son Bahar,false,0.0,String[],2008-09-01,2008-10-27,String[],8.0,1.0,Ended,3.31
Es-Es,false,90.0,"[""Dram"", ""Aile"", ""Aksiyon & Macera""]",2008-08-16,2009-01-03,"[""atv"", ""Show TV""]",21.0,1.0,Ended,16.749
Kız Takımı,false,90.0,"[""Dram""]",2008-08-11,2008-10-20,"[""FOX""]",11.0,1.0,Ended,5.85
Doludizgin Yıllar,false,90.0,"[""Dram""]",2008-08-06,2009-10-19,"[""atv"", ""TRT 1""]",2.0,2.0,Ended,2.015
İpsiz Recep,false,60.0,"[""Dram"", ""Savaş & Politik""]",2008-08-01,2008-09-12,"[""TRT 1""]",26.0,1.0,Ended,8.712
Eyvah Halam,false,100.0,"[""Aile"", ""Dram""]",2008-07-30,2008-08-27,"[""Star TV""]",5.0,1.0,Ended,5.524
Mert ile Gert,false,90.0,"[""Aile"", ""Komedi""]",2008-07-18,2009-02-03,"[""TRT 1""]",27.0,1.0,Ended,20.249
Son Ağa,false,80.0,"[""Aile"", ""Komedi""]",2008-07-17,2008-12-18,"[""Star TV""]",23.0,1.0,Ended,7.337
Servet Avcısı,false,0.0,"[""Aile"", ""Komedi""]",2008-07-14,2008-08-18,"[""atv""]",6.0,1.0,Ended,2.87
Akasya Durağı,false,90.0,"[""Komedi"", ""Aile""]",2008-07-14,2011-09-29,"[""Kanal D""]",174.0,5.0,Ended,58.449
Süper Babaanne,false,60.0,"[""Komedi"", ""Aile"", ""Bilim Kurgu & Fantazi""]",2008-07-10,2008-10-30,"[""TRT 1""]",17.0,1.0,Ended,3.734
Derman,false,90.0,"[""Komedi""]",2008-07-05,2008-08-09,"[""Kanal D""]",6.0,1.0,Ended,1.729
Gece Gündüz,false,80.0,"[""Aksiyon & Macera"", ""Suç"", ""Dram""]",2008-07-04,2009-01-16,"[""Kanal D""]",29.0,1.0,Ended,18.234
Prenses Perfinya,false,90.0,"[""Çocuklar"", ""Bilim Kurgu & Fantazi""]",2008-07-03,2009-01-08,"[""FOX""]",28.0,1.0,Ended,4.701
Pulsar,false,90.0,"[""Aile"", ""Çocuklar""]",2008-06-10,2008-09-30,"[""Star TV""]",17.0,1.0,Ended,3.941
Küçük Kadınlar,false,90.0,"[""Dram"", ""Aile""]",2008-06-10,2011-03-05,"[""Kanal D"", ""Star TV""]",120.0,3.0,Ended,9.399
Pepee,false,20.0,"[""Animasyon"", ""Çocuklar"", ""Aile""]",2008-06-06,2015-01-21,"[""Show TV"", ""TRT Çocuk"", ""Planet Çocuk""]",8.0,8.0,Ended,1.891
Yol Arkadaşım,false,90.0,"[""Aile"", ""Dram""]",2008-05-12,2009-04-27,"[""Kanal D"", ""Star TV""]",41.0,2.0,Ended,12.871
Her Halimle Sev Beni,false,60.0,"[""Komedi""]",2008-05-10,2008-05-24,"[""TRT 1""]",3.0,1.0,Ended,1.502
Dur Yolcu,false,0.0,"[""Dram"", ""Savaş & Politik""]",2008-05-01,2008-07-24,"[""TRT 1""]",13.0,1.0,Ended,5.096
Benim Annem Bir Melek,false,90.0,"[""Komedi"", ""Aile""]",2008-03-30,2010-04-12,"[""atv"", ""Star TV""]",64.0,3.0,Ended,22.432
Kollama,false,90.0,"[""Suç"", ""Aksiyon & Macera"", ""Dram""]",2008-02-10,2010-10-01,"[""Samanyolu TV""]",4.0,4.0,Ended,4.522
Çemberin Dışında,false,0.0,String[],2008-01-26,2008-02-02,"[""Star TV""]",2.0,1.0,Ended,3.578
Pars: Narkoterör,false,0.0,"[""Aksiyon & Macera"", ""Gizem"", ""Savaş & Politik"", ""Dram"", ""Suç""]",2008-01-21,2008-06-23,"[""Show TV""]",23.0,1.0,Ended,10.468
Görgüsüzler,false,80.0,"[""Komedi"", ""Aile""]",2008-01-13,2008-02-17,"[""atv""]",6.0,1.0,Ended,1.534
Yaban Gülü,false,90.0,"[""Aile"", ""Dram""]",2008-01-01,2008-04-08,"[""atv""]",15.0,1.0,Ended,13.104
Sinekli Bakkal,false,90.0,"[""Aile"", ""Dram""]",2007-12-27,2008-01-24,"[""atv""]",5.0,1.0,Ended,2.782
Havalimanı,false,90.0,"[""Komedi""]",2007-12-26,2008-01-23,"[""FOX""]",5.0,1.0,Ended,2.562
OKS Anneleri,false,90.0,"[""Aile"", ""Dram""]",2007-12-23,2008-01-27,"[""FOX""]",6.0,1.0,Ended,2.015
Parmaklıklar Ardında,false,90.0,"[""Dram"", ""Suç""]",2007-12-13,2010-06-24,"[""atv""]",106.0,3.0,Ended,24.609
Karayılan,false,90.0,"[""Dram""]",2007-11-19,2008-03-17,"[""atv""]",18.0,1.0,Ended,15.629
Fedai,false,80.0,"[""Dram""]",2007-11-16,2008-01-12,"[""Star TV""]",8.0,1.0,Ended,2.146
Dağlar Delisi,false,0.0,String[],2007-11-10,2007-11-10,String[],1.0,1.0,Ended,0.6
Gönül Salıncağı,false,60.0,"[""Dram""]",2007-11-03,2008-02-09,"[""TRT 1""]",15.0,1.0,Ended,4.791
Asi,false,90.0,"[""Aile"", ""Dram""]",2007-10-26,2009-06-19,"[""Kanal D""]",71.0,2.0,Ended,16.601
Sevgili Dünürüm,false,80.0,"[""Aile"", ""Komedi""]",2007-10-19,2008-03-07,"[""Star TV""]",21.0,1.0,Ended,23.78
Tek Türkiye,false,90.0,"[""Dram""]",2007-10-18,2010-10-07,"[""Samanyolu TV""]",4.0,4.0,Ended,7.634
Eşref Saati,false,80.0,"[""Komedi"", ""Aile""]",2007-10-16,2008-11-24,"[""Show TV""]",39.0,2.0,Ended,6.201
Tatlı Bela Fadime,false,0.0,"[""Aile"", ""Komedi""]",2007-10-11,2007-10-11,"[""Star TV""]",1.0,1.0,Ended,1.725
Arka Sıradakiler,false,110.0,"[""Suç"", ""Dram""]",2007-09-30,2012-06-17,"[""FOX""]",193.0,6.0,Ended,21.112
Oyun Bitti,false,60.0,"[""Aile"", ""Komedi""]",2007-09-21,2007-11-02,"[""Kanal D""]",7.0,1.0,Ended,4.486
Bez Bebek,false,0.0,"[""Çocuklar"", ""Aile"", ""Bilim Kurgu & Fantazi"", ""Komedi""]",2007-09-20,2010-04-02,"[""FOX""]",101.0,3.0,Ended,36.948
Elveda Rumeli,false,90.0,"[""Savaş & Politik"", ""Aile"", ""Dram"", ""Komedi""]",2007-09-20,2009-10-12,"[""atv""]",83.0,3.0,Ended,26.014
Evimin Erkeği,false,0.0,String[],2007-09-15,2007-09-15,"[""TRT 1""]",1.0,1.0,Ended,1.96
Pusat,false,90.0,"[""Dram"", ""Aksiyon & Macera""]",2007-09-14,2007-12-07,"[""Show TV""]",13.0,1.0,Ended,5.472
Fesupanallah,false,80.0,"[""Komedi""]",2007-09-10,2007-10-29,"[""atv""]",8.0,1.0,Ended,4.379
Bıçak Sırtı,false,60.0,"[""Aile"", ""Dram""]",2007-09-10,2008-04-28,"[""Kanal D""]",30.0,1.0,Ended,15.164
Vazgeç Gönlüm,false,90.0,"[""Dram""]",2007-09-07,2008-10-18,"[""Star TV""]",41.0,2.0,Ended,10.145
Menekşe ile Halil,false,100.0,"[""Dram""]",2007-09-07,2008-05-24,"[""Kanal D""]",36.0,1.0,Ended,14.061
Annem,false,90.0,"[""Dram"", ""Aile""]",2007-09-06,2010-03-19,"[""Kanal D""]",64.0,2.0,Ended,5.987
Oğlum İçin,false,90.0,"[""Aile"", ""Dram""]",2007-09-04,2007-11-06,"[""Show TV""]",10.0,1.0,Ended,6.478
Dudaktan Kalbe,false,90.0,"[""Dram""]",2007-09-03,2009-05-26,"[""Show TV""]",75.0,2.0,Ended,11.31
Zeliha'nın Gözleri,false,90.0,"[""Dram"", ""Suç"", ""Bilim Kurgu & Fantazi""]",2007-07-30,2007-09-24,"[""Star TV""]",9.0,1.0,Ended,7.989
Senden Başka,false,90.0,"[""Komedi"", ""Dram""]",2007-07-18,2007-11-21,"[""atv""]",19.0,1.0,Ended,4.607
Hayal ve Gerçek,false,0.0,String[],2007-07-07,2007-09-01,"[""atv""]",9.0,1.0,Ended,2.122
Zoraki Koca,false,90.0,"[""Komedi""]",2007-07-02,2007-12-24,"[""Kanal D""]",26.0,1.0,Ended,4.587
Hayat Apartmanı,false,60.0,"[""Komedi""]",2007-06-02,2007-06-30,"[""Show TV""]",5.0,1.0,Ended,2.46
Kavak Yelleri,false,100.0,"[""Komedi"", ""Dram"", ""Aile""]",2007-05-31,2011-08-30,"[""Kanal D""]",170.0,5.0,Ended,34.931
Hepsi 1,false,86.0,"[""Komedi"", ""Dram""]",2007-05-13,2008-05-25,"[""atv"", ""Show TV""]",51.0,2.0,Ended,20.98
Kurtlar Vadisi: Pusu,false,120.0,"[""Dram"", ""Savaş & Politik"", ""Aksiyon & Macera""]",2007-04-19,2016-06-16,"[""Kanal D"", ""atv"", ""Show TV"", ""Star TV""]",300.0,10.0,Ended,121.283
Baba Oluyorum,false,0.0,"[""Aile"", ""Komedi""]",2007-04-08,2007-05-13,"[""TRT 1""]",6.0,1.0,Ended,1.786
İki Yabancı,false,90.0,"[""Dram""]",2007-04-04,2007-07-03,"[""atv""]",13.0,1.0,Ended,9.19
Yersiz Yurtsuz,false,90.0,"[""Aile"", ""Dram""]",2007-03-29,2007-06-28,String[],18.0,1.0,Ended,6.202
Elveda Derken,false,95.0,"[""Dram"", ""Aile"", ""Belgesel""]",2007-03-21,2008-06-17,"[""Kanal D""]",51.0,2.0,Ended,15.069
Hayat Kavgam,false,0.0,"[""Komedi"", ""Aile""]",2007-03-19,2007-03-19,"[""Show TV""]",1.0,1.0,Ended,1.651
Kader,false,0.0,"[""Aile"", ""Dram""]",2007-03-15,2007-06-07,"[""Star TV""]",13.0,1.0,Ended,7.44
Ayrılık,false,0.0,"[""Aile"", ""Dram"", ""Savaş & Politik""]",2007-03-15,2007-04-19,"[""Show TV""]",6.0,1.0,Ended,5.229
Kara Duvak,false,0.0,String[],2007-03-14,2007-06-06,String[],13.0,1.0,Ended,6.728
Affedilmeyen,false,0.0,String[],2007-03-08,2007-03-22,"[""atv""]",3.0,1.0,Ended,6.195
Dicle,false,90.0,"[""Aile"", ""Dram""]",2007-03-08,2007-04-05,"[""atv""]",5.0,1.0,Ended,3.983
Yaralı Yürek,false,90.0,"[""Dram""]",2007-02-10,2007-05-26,"[""Show TV""]",16.0,1.0,Ended,14.575
Kurtlar Vadisi: Terör,false,0.0,"[""Savaş & Politik"", ""Suç"", ""Gerçeklik"", ""Dram""]",2007-02-08,2007-10-18,"[""Show TV""]",2.0,1.0,Ended,4.257
Şöhret Okulu,false,90.0,"[""Dram"", ""Komedi""]",2007-01-25,2007-02-15,"[""atv""]",4.0,1.0,Ended,2.311
Geniş Zamanlar,false,80.0,"[""Aile"", ""Dram""]",2007-01-09,2007-06-05,"[""Star TV""]",22.0,1.0,Ended,11.373
Yeni Evli,false,35.0,"[""Aile"", ""Komedi""]",2007-01-01,2007-01-01,"[""TRT 1""]",1.0,1.0,Ended,1.217
Nazlı Yarim,false,80.0,"[""Aile"", ""Komedi""]",2007-01-01,2007-01-01,"[""Show TV""]",6.0,1.0,Ended,3.673
